Time, IP-address, port, IP-address, port, num, rand, bytes, Throughput
20220706201044,192.168.1.2,54076,192.168.1.3,5001,1,244.0-245.0,192424720,1539397760
20220706201045,192.168.1.2,54076,192.168.1.3,5001,1,245.0-246.0,176968768,1415750144
20220706201046,192.168.1.2,54076,192.168.1.3,5001,1,246.0-247.0,109522376,876179008
20220706201047,192.168.1.2,54076,192.168.1.3,5001,1,247.0-248.0,149679760,1197438080
20220706201048,192.168.1.2,54076,192.168.1.3,5001,1,248.0-249.0,105155208,841241664
20220706201049,192.168.1.2,54076,192.168.1.3,5001,1,249.0-250.0,44003272,352026176
20220706201050,192.168.1.2,54076,192.168.1.3,5001,1,250.0-251.0,29967808,239742464
20220706201051,192.168.1.2,54076,192.168.1.3,5001,1,251.0-252.0,82457808,659662464
20220706201052,192.168.1.2,54076,192.168.1.3,5001,1,252.0-253.0,133650400,1069203200
20220706201053,192.168.1.2,54076,192.168.1.3,5001,1,253.0-254.0,79470584,635764672
20220706201054,192.168.1.2,54076,192.168.1.3,5001,1,254.0-255.0,104662888,837303104
20220706201055,192.168.1.2,54076,192.168.1.3,5001,1,255.0-256.0,177704352,1421634816
20220706201056,192.168.1.2,54076,192.168.1.3,5001,1,256.0-257.0,183450016,1467600128
20220706201057,192.168.1.2,54076,192.168.1.3,5001,1,257.0-258.0,189993528,1519948224
20220706201058,192.168.1.2,54076,192.168.1.3,5001,1,258.0-259.0,188714944,1509719552
20220706201059,192.168.1.2,54076,192.168.1.3,5001,1,259.0-260.0,184924080,1479392640
20220706201100,192.168.1.2,54076,192.168.1.3,5001,1,260.0-261.0,172807216,1382457728
20220706201101,192.168.1.2,54076,192.168.1.3,5001,1,261.0-262.0,111261424,890091392
20220706201102,192.168.1.2,54076,192.168.1.3,5001,1,262.0-263.0,84445912,675567296
20220706201103,192.168.1.2,54076,192.168.1.3,5001,1,263.0-264.0,106006632,848053056
20220706201104,192.168.1.2,54076,192.168.1.3,5001,1,264.0-265.0,36357832,290862656
20220706201105,192.168.1.2,54076,192.168.1.3,5001,1,265.0-266.0,29815768,238526144
20220706201106,192.168.1.2,54076,192.168.1.3,5001,1,266.0-267.0,111630664,893045312
20220706201107,192.168.1.2,54076,192.168.1.3,5001,1,267.0-268.0,114239960,913919680
20220706201108,192.168.1.2,54076,192.168.1.3,5001,1,268.0-269.0,88210712,705685696
20220706201109,192.168.1.2,54076,192.168.1.3,5001,1,269.0-270.0,105834320,846674560
20220706201110,192.168.1.2,54076,192.168.1.3,5001,1,270.0-271.0,188261720,1506093760
20220706201111,192.168.1.2,54076,192.168.1.3,5001,1,271.0-272.0,193051704,1544413632
20220706201112,192.168.1.2,54076,192.168.1.3,5001,1,272.0-273.0,196263368,1570106944
20220706201113,192.168.1.2,54076,192.168.1.3,5001,1,273.0-274.0,194921072,1559368576
20220706201114,192.168.1.2,54076,192.168.1.3,5001,1,274.0-275.0,190320776,1522566208
20220706201115,192.168.1.2,54076,192.168.1.3,5001,1,275.0-276.0,150552904,1204423232
20220706201116,192.168.1.2,54076,192.168.1.3,5001,1,276.0-277.0,134147064,1073176512
20220706201117,192.168.1.2,54076,192.168.1.3,5001,1,277.0-278.0,105362272,842898176
20220706201118,192.168.1.2,54076,192.168.1.3,5001,1,278.0-279.0,53300880,426407040
20220706201119,192.168.1.2,54076,192.168.1.3,5001,1,279.0-280.0,25713584,205708672
20220706201120,192.168.1.2,54076,192.168.1.3,5001,1,280.0-281.0,67036608,536292864
20220706201121,192.168.1.2,54076,192.168.1.3,5001,1,281.0-282.0,112600824,900806592
20220706201122,192.168.1.2,54076,192.168.1.3,5001,1,282.0-283.0,89957000,719656000
20220706201123,192.168.1.2,54076,192.168.1.3,5001,1,283.0-284.0,129365768,1034926144
20220706201124,192.168.1.2,54076,192.168.1.3,5001,1,284.0-285.0,189531616,1516252928
20220706201125,192.168.1.2,54076,192.168.1.3,5001,1,285.0-286.0,190189008,1521512064
20220706201126,192.168.1.2,54076,192.168.1.3,5001,1,286.0-287.0,198504872,1588038976
20220706201127,192.168.1.2,54076,192.168.1.3,5001,1,287.0-288.0,180678544,1445428352
20220706201128,192.168.1.2,54076,192.168.1.3,5001,1,288.0-289.0,139844944,1118759552
20220706201129,192.168.1.2,54076,192.168.1.3,5001,1,289.0-290.0,115504064,924032512
20220706201130,192.168.1.2,54076,192.168.1.3,5001,1,290.0-291.0,108579728,868637824
20220706201131,192.168.1.2,54076,192.168.1.3,5001,1,291.0-292.0,39562256,316498048
20220706201132,192.168.1.2,54076,192.168.1.3,5001,1,292.0-293.0,54774944,438199552
20220706201133,192.168.1.2,54076,192.168.1.3,5001,1,293.0-294.0,33031776,264254208
20220706201134,192.168.1.2,54076,192.168.1.3,5001,1,294.0-295.0,122186584,977492672
20220706201135,192.168.1.2,54076,192.168.1.3,5001,1,295.0-296.0,118847496,950779968
20220706201136,192.168.1.2,54076,192.168.1.3,5001,1,296.0-297.0,65652320,525218560
